title,url,date,text
Раскрыты подробности о переговорах по Украине,https://lenta.ru/news/2025/04/14/raskryty-podrobnosti-o-peregovorah-po-ukraine/,2025-04-14 00:21:00,Первый заместитель постпреда России при ООН Дмитрий Полянский прокомментировал переговоры по урегулированию конфликта на Украине. Об этом он высказался в беседе с «Известиями».
Россия обвинила Украину в отсутствии переговоров по урегулированию,https://lenta.ru/news/2025/04/14/rossiya-obvinila-ukrainu-v-otsutstvii-peregovorov-po-uregulirovaniyu/,2025-04-14 00:21:00,"В том, что между Россией и Украиной нет переговоров по урегулированию конфликта, виновата украинская сторона. Об этом заявил замглавы МИД РФ Михаил Галузин в беседе с «Известиями».
«К сожалению, на протяжении всего периода украинского кризиса киевское руководство демонстрировало свою недоговороспособность и полное отсутствие устремлений к миру», — подчеркнул чиновник.
Он отметил, что и сейчас Киев показывает свою неготовность к урегулированию. Галузин напомнил, что с середины марта существует договоренность, согласно которой стороны отказались атаковать объекты энергетической инфраструктуры друг друга, однако Украина этого соглашения не придерживается.
«На деле мы видим практически ежедневные атаки на энергообъекты Российской Федерации», — резюмировал чиновник.
Ранее директор второго департамента стран СНГ МИД РФ Алексей Полищук заявил, что Россия открыта к обсуждениям с Украиной предложений, учитывающих реалии."
В «Зените» назвали провокацией информацию о премиях за матч с лидером РПЛ,https://lenta.ru/news/2025/04/14/v-zenite-nazvali-provokatsiey-informatsiyu-o-premiyah-za-match-s-liderom-rpl/,2025-04-14 00:17:00,"Председатель правления петербургского «Зенита» Александр Медведев прокомментировал информацию о призовых игрокам команды за победу над «Краснодаром» в матче 24-го тура Российской премьер-лиги (РПЛ). Его слова приводит «Спорт-Экспресс».
Медведев назвал информацию провокацией. Он заявил, что слухи распространили агенты.
Ранее Sport24 сообщил, что в случае победы над «Краснодаром» каждому игроку сине-бело-голубых обещали по 110 тысяч евро. При этом при разгромном выигрыше с разницей в три мяча и более — по 250 тысяч евро.
13 апреля «Зенит» одержал разгромную победу над лидирующим в РПЛ «Краснодаром». Встреча прошла на стадионе «Санкт-Петербург» и завершилась со счетом 4:1 в пользу хозяев."
В России испытают очки виртуальной реальности для РОС,https://lenta.ru/news/2025/04/14/v-rossii-ispytayut-ochki-virtualnoy-realnosti-dlya-ros/,2025-04-14 00:15:00,"Ученые испытывают различные очки виртуальной реальности для применения на перспективной Российской орбитальной станции (РОС). Очки хотят использовать для оказания психологической поддержки космонавтам, сообщил ТАСС врач-психолог, заведующий лабораторией психофизиологического обеспечения полетов и экстремальной деятельности Института медико-биологических проблем (ИМБП) РАН Олег Рюмин.
Он отметил, что пока технологию виртуальной реальности не применяют, но ее оттачивают в ходе различных экспериментов, включая длительный изоляционный эксперимент SIRIUS. Рюмин подчеркнул, что в ходе тестирования различных очков исследователи получили положительную оценку от членов экипажей.
«По их словам, технология очень здорово помогает в условиях длительной изоляции. Сейчас мы находимся на стадии тестирования различных очков виртуальной реальности, которые можно будет использовать на перспективной РОС», — сказал заведующий лабораторией.
Специалист подчеркнул, что технология будет актуальна не только на борту станции, но и в ходе перспективных межпланетных полетов. Очки могут оказать поддержку космонавтам, которые длительное время находятся в условиях дефицита информации.
В январе генконструктор Ракетно-космической корпорации «Энергия», академик РАН Владимир Соловьев сообщил, что запуск научно-энергетического модуля перспективной РОС намечен на конец 2027 года."
14 апреля: какой праздник отмечают в России и мире,https://lenta.ru/news/2025/04/14/-aprelya-kakoy-prazdnik-segodnya-otmechayut-v-rossii-i-mire/,2025-04-14 00:05:00,"14 апреля в России отмечают День медицинской службы уголовно-исполнительной системы. В США в этот день празднуют Национальный день бывших супругов. Для православных верующих начинается последняя неделя Великого поста. Подробнее о торжествах, приметах и именинниках 14 апреля — в материале «Ленты.ру».
Праздник учредили в память о докторе Федоре Гаазе, который, будучи главным врачом московских тюрем, в 1829 году обратился к князю Голицыну — Гааз попросил уполномочить его следить за здоровьем всех московских арестантов. Позже врачебные обследования заключенных стали регулярными, что впоследствии привело к созданию специализированной медицинской службы.
Официально праздник начали отмечать в России в 2011 году. В этот день принято поздравлять всех медицинских работников уголовно-исполнительной системы.
Дeнь нeзaвиcимocти cтудeнчecтвa Cpeднeгo Уpaлa;
Старославянский праздник огня (День Семаргла).
Наступление нового календарного года в Бангладеш и западной Бенгалии отмечают 14 апреля. Перед праздником в домах принято делать уборку и накрывать на стол. В торжественный день принято ходить друг к другу в гости и на ярмарки, где продают традиционные сладости и работы местных мастеров. Также на ярмарках обычно выступают артисты.
Крупные бенгальские общины отмечают свой Новый год и в других странах, например, в Австралии праздник широко отмечают жители Сиднея, Мельбурна и Камберры. При этом главным азиатским фестивалем в Европе считается новогодняя бенгальская ярмарка в Лондоне.
День молодежи в Анголе;
Всемирный день квантовой физики;
Национальный день бывших супругов в США.
В возрасте 12 лет Мария ушла из дома и течение последующих 17 лет была блудницей. Однажды она попыталась войти в храм, но сделать ей это не удалось. По преданию, невидимая сила препятствовала девушке.
Тогда она начала молиться перед иконой Божией Матери в притворе храма, после чего смогла зайти в место богослужения и поклониться Кресту. Затем Мария услышала голос Богородицы и ушла в пустыню. Там, в уединении и молитве она провела оставшиеся 47 лет своей жизни. За свой духовный подвиг Мария Египетская была причислена к лику святых. Верующие почитают ее как пример покаяния, благодаря которому даже великий грешник может стать святым.
В первый день Страстной недели Церковь вспоминает ветхозаветного патриарха Иосифа Прекрасного, жизнеописание которого во многом напоминает путь Христа, наполненный страданиями. Помимо ветхозаветной истории, в Великий понедельник верующие вспоминают иссушение Христом бесплодной смоковницы. Дерево, покрытое пышной листвой, но не приносящие плодов, считается символом лицемерия фарисеев и церковных книжников, против которых выступал Иисус Христос.
День памяти мученика Авраамия Болгарского, Владимирского чудотворца;
День памяти преподобного Евфимия, Суздальского чудотворца; 
День памяти преподобного Геронтия, канонарха Печерского.
Если в этот день на улице слышны короткие раскаты грома — в ближайшее время придет солнечная погода;
Молния на закате предвещает дождь;
Большое половодье в этот день — к удачной рыбалке и хорошему сенокосу.
Американский актер и продюсер Эдриан Броуди родился 14 апреля 1973 года. Известность ему принесла главная роль в фильме Романа Полански «Пианист». Позже актер снимался в картинах: «Отель Гранд Будапешт», «Кинг-Конг», «Учитель на замену», также он сыграл в сериале «Острые козырьки». Эдриан Броуди — обладатель премий «Оскар» и «Сезар».
Российская актриса Кристина Асмус родилась 14 апреля 1988 года. Популярность ей принесла роль Вари в сериале «Интерны». Также снималась в фильмах: «Елки», «А зори здесь тихие», «Чемпионы: Быстрее. Выше. Сильнее», «Текст».
Эбигейл Бреслин (29 лет) — американская актриса;
Сара Мишель Геллар (48 лет) — американская актриса и продюсер;
Петр Мамонов (1951-2021) — советский и российский рок-музыкант, певец, актер;
Михаил Врубель (1856-1910) — русский художник."
В небе над Москвой заметили большую букву V,https://lenta.ru/news/2025/04/13/v-nebe-nad-moskvoy-zametili-bolshuyu-bukvu-v/,2025-04-14 00:03:00,"В небе над Москвой и Подмосковье заметили большую букву V, сообщает Telegram-канал Baza.
Скорее всего, это инверсионные следы от самолетов. При этом канал отмечает, что некоторые пользователи в соцсети приняли букву за «химтрейлы». «Понятие из теории заговоров, согласно которым правительство тайно распыляет с пассажирских самолетов некие ""химикаты""; считается, что опознать такие самолеты можно по необычным конденсационным следам», — говорится в публикации.
В марте россияне заметили в небе над Антропово в Костромской области «таинственные спирали». Комментаторы отметили, что, по предварительным данным, это явление связано с запуском ракеты Falcon 9 компании SpaceX, который состоялся с мыса Канаверал во Флориде."
Трамп установил памятник самому себе в своем гольф-клубе,https://lenta.ru/news/2025/04/14/tramp-ustanovil-pamyatnik-samomu-sebe-v-svoem-golf-klube/,2025-04-13 23:58:00,"Президент США Дональд Трамп установил памятник, который изображает его, в своем гольф-клубе Trump International Golf Club. Статую ему подарил предприниматель Энтони Константино. Бизнесмен сообщил об этом в социальной сети X.
Статуя получила название «Монумент непокорности», ее высота составляет примерно 2,1 метра. Она была установлена между одним из зданий гольф-клуба и первой лункой 27-луночного поля для гольфа.
«Он стоит на каменном постаменте с выгравированным на нем именем Энтони Константино», — отмечается в сообщении.
Статуя изображает Трампа, поднявшего руку со сжатым кулаком. Такую позу президент принял после того, как в него выстрелили во время выступления летом 2024 года."
Трамп прокомментировал пошлины США для Китая,https://lenta.ru/news/2025/04/13/tramp-prokommentiroval-poshliny-ssha-dlya-kitaya/,2025-04-13 23:52:00,"Президент США Дональд Трамп заявил, что администрация не делала никаких исключений по тарифам для импортных товаров из КНР. Об этом он написал в социальной сети Truth Social.
Трамп прокомментировал торговые пошлины США для Китая и подчеркнул, что продукты подпадали под существующие 20-процентные пошлины за фентанил. Поэтому они переместились в «другую тарифную корзину».
«Никто не сможет соскочить с крючка за несправедливые торговые балансы и неденежные тарифные барьеры, которые другие страны использовали против нас, особенно Китай, который на сегодняшний день относится к нам хуже всех», — сказал он.
Ранее Китай зеркально повысил импортные пошлины на товары из США до 125 процентов. В комитете по тарифам Госсовета КНР заявили, что крайне высокие пошлины Вашингтона на китайскую продукцию стали серьезным нарушением международных торгово-экономических правил, основных экономических законов и здравого смысла.
2 апреля Трамп подписал указ о повышении импортных пошлин на продукцию из 185 стран. Базовая ставка составила 10 процентов, однако для ряда государств пошлины достигли 30-55 процентов."
Российский военный четыре дня откапывал себя из-под земли,https://lenta.ru/news/2025/04/13/rossiyskiy-voennyy-chetyre-dnya-otkapyval-sebya-iz-pod-zemli/,2025-04-13 23:52:00,"Раненый российский боец четыре дня сам себя откапывал из-под земли, рассказала сестра милосердия АНО «Круги мира» Ирина Гончарова. Об этом пишет «Комсомольская правда» (KP.RU).
Медик, работающая в госпитале, рассказала, что бойцы Вооруженных сил (ВС) России рассказывают ей, сколько друзей они потеряли, как было страшно, как старались выжить вопреки всему.
«Один из таких ребят с перебитыми руками, с ранением в живот восемь дней полз, пока его не вытащили товарищи... Другой рассказывал, что четыре дня сам себя откапывал из-под земли после взрыва. Тяжелораненый. Без воды и еды», — уточнила она.
Ранее сообщалось, что механик-водитель башкирского танкового батальона с позывным Робин увел танк с линии огня Вооруженных сил Украины (ВСУ) и спас экипаж машины из-под обстрела, несмотря на то, что потерял руку в бою."
Раскрыто число детей мигрантов в Петербурге,https://lenta.ru/news/2025/04/13/raskryto-chislo-detey-migrantov-v-peterburge/,2025-04-13 23:37:00,"Санкт-Петербург занял третье место по числу детей-мигрантов. По данным Минпросвещения, сейчас в городе 19 622 ребенка школьного возраста, не владеющих или слабо владеющих русским языком, отмечает ТАСС.
По данным ведомства, это в два раза меньше, чем в Подмосковье (44 422), и в 1,5 раза меньше, чем в Москве (25 963).
Как заявили в Минпросвещения, в Москве есть шесть площадок для прохождения тестирования, а в Московской области и Санкт-Петербурге — 18. В Свердловской области находятся более 45 образовательных организаций, в которых дети мигрантов смогут пройти тестирование.
Ранее в России детей мигрантов начали тестировать перед приемом в школы на знание русского языка. Первые результаты новых правил депутаты обсудят в рамках работы Совета законодателей.
Тестирование детей иностранцев началось в России с 1 апреля. Оно будет проводиться на базе более чем 3170 образовательных площадок в 86 регионах. Больше всего таких площадок находится в Самарской и Ростовской областях."
В США призвали налаживать отношения с Россией,https://lenta.ru/news/2025/04/14/v-ssha-prizvali-nalazhivat-otnosheniya-s-rossiey/,2025-04-13 23:37:00,"Пришло время наладить отношения с Россией, так как Москва не планирует вторгаться в Европу. Такой точкой зрения поделился экс-советник главы Пентагона Дуглас Макгрегор в социальной сети X.
«Глобалистский правящий класс, потерпевший фиаско в Европе, делает все, что в его силах, чтобы создать ложную российскую угрозу», — написал Макгрегор. Но он пояснил, что у России нет планов вторгаться в Европу, так как это не входит в интересы Москвы.
В связи с этим бывший советник руководителя американского военного ведомства заявил, что настало время заключить мир с Россией.
Ранее газета The New York Times написала, что президент США Дональд Трамп в ходе второго срока хочет изменить отношения с Россией, его политика нацелена на то, чтобы Вашингтон сблизился с Москвой."
SHAMAN рассказал о завтраке с Мизулиной,https://lenta.ru/news/2025/04/13/shaman-rasskazal-o-zavtrake-s-mizulinoy/,2025-04-13 23:36:00,"Певец SHAMAN (настоящее имя — Ярослав Дронов) рассказал, как проходит завтрак со своей возлюбленной, главой Лиги безопасного интернета Екатериной Мизулиной. Об этом он высказался в комментарии «Комсомольской правде».
«Ну, мы обычно начинаем свой день традиционно с кофе. Уже часа через полтора завтрак. Курочка, овощной салатик», — отметил SHAMAN.
Певец рассказал, что любит сам мыть посуду. По его словам, работа руками очищает мозг.
Ранее SHAMAN назвал Мизулину самой красивой в мире женщиной. «С кем еще, как не с родными людьми, можно делиться такими моментами. Вы все свидетели — самая красивая женщина в мире под гром аплодисментов 7 тысяч зрителей ответила мне ""Да!"". Просто праздник для моего сердца!» — обратился артист к поклонникам после концерта, где объявил публично о своих отношениях."
Симоньян рассказала о зависти Британии России,https://lenta.ru/news/2025/04/13/britann/,2025-04-13 23:32:00,"Британия столетиями завидовала России, заявила главный редактор международной медиагруппы «Россия сегодня» и телеканала RT Маргарита Симоньян, передает «Россия 1».
По ее словам, Британия не смогла сохранить свою империю, она потеряла ее с позором.
«А мы не можем потерять свою империю, потому что мы все — эта империя и есть. Они не могли ассимилировать тех, кого они завоевали», — добавила она.
Редактор назвала главные принципы становления Российской империи. По ее мнению, это «защита или кого-то, или самих себя».
Ранее российский посол в Великобритании Андрей Келин заявил, что РФ не представляет угрозы для Великобритании."
